selling_price,year,km_driven,transmission_type,mileage,engine,max_power,seats,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol
5.75,2016.0,11000,1,18.6,1197.0,81.83,5.0,1,0,0,0,0,0,0,1
4.66,2016.0,66000,1,23.59,1364.0,67.06,5.0,1,0,0,0,1,0,0,0
3.6,2017.0,17000,1,23.01,999.0,67.0,5.0,0,1,0,0,0,0,0,1
2.75,2017.0,25000,1,24.7,796.0,47.3,5.0,0,1,0,0,0,0,0,1
3.2,2016.0,33350,1,19.44,1198.0,67.0,7.0,0,1,0,0,0,0,0,1
0.95,2000.0,45000,1,14.0,796.0,35.0,5.0,0,1,0,0,0,0,0,1
3.7,2015.0,62000,1,18.9,1197.0,82.0,5.0,1,0,0,0,0,0,0,1
2.5,2013.0,30000,1,19.4,1198.0,86.8,5.0,0,1,0,0,0,0,0,1
2.75,2009.0,59000,1,17.5,1298.0,85.8,5.0,0,1,0,0,0,0,0,1
19.5,2015.0,20000,0,12.33,1991.0,375.48,5.0,1,0,0,0,0,0,0,1
5.5,2014.0,86113,1,17.4,1497.0,117.3,5.0,1,0,0,0,0,0,0,1
13.25,2016.0,45000,1,21.43,1364.0,87.2,5.0,1,0,0,0,1,0,0,0
7.5,2018.0,10000,1,28.4,1248.0,74.02,5.0,0,1,0,0,1,0,0,0
2.9,2011.0,70000,1,18.06,1198.0,75.0,5.0,1,0,0,0,0,0,0,1
2.72,2015.0,92537,1,20.51,998.0,67.04,5.0,0,1,0,0,0,0,0,1
9.51,2019.0,27645,1,28.09,1248.0,88.5,5.0,1,0,0,0,1,0,0,0
2.8,2013.0,46242,1,20.92,998.0,67.1,5.0,0,1,0,0,0,0,0,1
5.45,2013.0,70000,1,16.8,1497.0,116.3,5.0,0,1,0,0,0,0,0,1
4.5,2020.0,6000,1,22.3,799.0,53.26,5.0,0,1,0,0,0,0,0,1
4.8,2017.0,64000,1,18.6,1197.0,81.83,5.0,1,0,0,0,0,0,0,1
10.6,2017.0,93000,1,15.4,1997.0,120.0,7.0,1,0,0,0,1,0,0,0
2.35,2013.0,26200,1,22.74,796.0,47.3,5.0,1,0,0,0,0,0,0,1
5.9,2017.0,25000,1,21.4,1197.0,83.1,5.0,0,1,0,0,0,0,0,1
7.5,2017.0,80000,1,18.49,1493.0,100.0,7.0,0,1,0,0,1,0,0,0
0.71,2004.0,110000,0,0.0,999.0,5.0,5.0,0,1,0,0,0,0,0,1
4.5,2016.0,70000,1,18.49,1493.0,100.0,7.0,0,1,0,0,1,0,0,0
29.5,2018.0,50000,0,12.9,2755.0,174.5,7.0,1,0,0,0,1,0,0,0
1.1,2008.0,80000,1,17.92,1086.0,62.1,5.0,0,1,0,0,0,0,0,1
2.8,2007.0,110000,1,13.5,2179.0,115.0,5.0,0,1,0,0,1,0,0,0
18.51,2016.0,55000,0,17.84,1395.0,147.51,5.0,1,0,0,0,0,0,0,1
7.5,2018.0,25000,1,17.4,1497.0,117.3,5.0,0,1,0,0,0,0,0,1
4.0,2015.0,36000,1,18.9,1197.0,81.86,5.0,1,0,0,0,0,0,0,1
5.3,2015.0,40000,1,26.59,1248.0,74.0,5.0,0,1,0,0,1,0,0,0
8.7,2018.0,25000,1,16.55,2498.0,105.0,6.0,0,1,0,0,1,0,0,0
2.95,2018.0,30038,1,25.17,799.0,53.3,5.0,1,0,0,0,0,0,0,1
3.7,2017.0,53000,1,27.28,1047.0,69.0,5.0,0,1,0,0,1,0,0,0
5.3,2018.0,5000,1,21.21,1197.0,81.8,5.0,0,1,0,0,0,0,0,1
6.0,2014.0,41217,1,24.4,1120.0,71.0,5.0,0,1,0,0,1,0,0,0
3.5,2017.0,35000,0,24.04,999.0,67.0,5.0,0,1,0,0,0,0,0,1
4.7,2013.0,62000,1,22.7,1498.0,89.84,5.0,1,0,0,0,1,0,0,0
3.9,2015.0,42000,1,25.83,1498.0,99.0,5.0,0,1,0,0,1,0,0,0
1.16,2005.0,120000,1,13.2,1995.0,56.0,5.0,0,1,0,0,1,0,0,0
